,title,description,originallink,link,pubDate
365,[ST포토] 나나-조유리 '상큼한 미모',"우아(woo!ah!) 나나, 가수 <b>조유리</b>가 22일 온라인으로 진행된 플레이리스트 새 드라마 &apos;미미쿠스&apos; 제작발표회에 참석해 포즈를 취하고 있다. 사진제공 = 플레이리스트",http://www.stoo.com/article.php?aid=81514659503,http://www.stoo.com/article.php?aid=81514659503,"Fri, 22 Jul 2022 13:40:00 +0900"
366,[ST포토] 나나-조유리 '사랑스러운 미모',"우아(woo!ah!) 나나, 가수 <b>조유리</b>가 22일 온라인으로 진행된 플레이리스트 새 드라마 &apos;미미쿠스&apos; 제작발표회에 참석해 포즈를 취하고 있다. 사진제공 = 플레이리스트",http://www.stoo.com/article.php?aid=81514536934,http://www.stoo.com/article.php?aid=81514536934,"Fri, 22 Jul 2022 13:38:00 +0900"
367,"'미미쿠스' 조유리 ""아이돌 경험, 연기에 도움 됐다""","<b>조유리</b>가 &apos;미미쿠스&apos; 아이돌 경험이 연기에 도움됐다고 밝혔다. 22일 오후 플레이리스트 새 드라마 &apos;미미쿠스&apos; 제작발표회가 코로나19 확산 방지를 위해 온라인 생중계됐다. 현장에는 유영재, <b>조유리</b>, 김윤우, 나나가... ",http://www.celuvmedia.com/article.php?aid=1658464558430304006,http://www.celuvmedia.com/article.php?aid=1658464558430304006,"Fri, 22 Jul 2022 13:38:00 +0900"
368,"‘미미쿠스’ 유영재 “잘생겨야 한다고 조언, 노력 많이 했다”","이어 “예고에는 끼가 많고 잘생긴 친구도 많아서 외모적으로도 신경을 많이 썼다”며 “또 같이 연기하는 <b>조유리</b>, 김윤우, 나나가 다 어리고 예쁘고 잘생겼다. 이 친구들 만큼 좋은 모습 보여주려고 노력했다”고... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202207221337003&sec_id=540201&pt=nv,https://n.news.naver.com/mnews/article/144/0000826947?sid=106,"Fri, 22 Jul 2022 13:38:00 +0900"
369,"아이즈원 출신 조유리 “아이돌 경험, 연기에 도움”(미미쿠스)",<b>조유리</b>가 아이돌 경험이 연기에 도움 됐다고 밝혔다. 22일 오후 플레이리스트가 제작하는 ‘플리버스(플레이리스트 유니버스)’ 세계관의 새 하이틴 드라마 ‘미미쿠스’의 제작발표회가 열렸다. 아이즈원 출신 <b>조유리</b>는... ,http://mksports.co.kr/view/2022/647162/,https://n.news.naver.com/mnews/article/410/0000883380?sid=106,"Fri, 22 Jul 2022 13:35:00 +0900"
370,[셀럽포토]영재-나나-조유리-김윤우 '미미쿠스 주역들',"영재 나나 <b>조유리</b> 김윤우가 22일 오후 온라인 생중계로 진행된 플레이리스트 새 드라마 &apos;미미쿠스&apos; 제작발표회에 참석해 포즈를 취하고 있다. &apos;미미쿠스&apos;는 10대의 청춘들이 &apos;미믹&apos;(Mimic, 따라하다)을 통해 서로 배우고... ",http://www.celuvmedia.com/article.php?aid=1658464274430301009,http://www.celuvmedia.com/article.php?aid=1658464274430301009,"Fri, 22 Jul 2022 13:34:00 +0900"
371,"'미미쿠스' 유영재 ""한수지 감독, 내게 더 잘 생겨야 한다고 하더라""","현장에는 유영재, <b>조유리</b>, 김윤우, 나나가 참석해 작품에 대한 이야기를 나눴다. &apos;미미쿠스&apos;는 흉내내고... <b>조유리</b>는 걸그룹 ICE 센터이자 막내 오로시 역으로 분하며, 김윤우와 나나는 각각 JJ엔터 이미연 대표 아들이자... ",http://www.tvdaily.co.kr/read.php3?aid=16584642871646949002,http://www.tvdaily.co.kr/read.php3?aid=16584642871646949002,"Fri, 22 Jul 2022 13:34:00 +0900"
372,‘미미쿠스’ 나나 “유영재 첫인상? 무섭고 무게감 느껴졌다”,"<b>조유리</b>, 김윤우와의 호흡을 밝혔다. 이날 나나는 출연 배우들과의 호흡에 대해 “첫 만남 때는 엄청 어려울 것 같았는데 첫 촬영부터 괜찮았다. 자연스러움이 많이 묻어나왔을 것 같다”고 귀띔했다. 유영재, <b>조유리</b>... ",https://isplus.com/2022/07/22/enter/entertainment/20220722133320004.html,https://n.news.naver.com/mnews/article/241/0003221785?sid=106,"Fri, 22 Jul 2022 13:33:00 +0900"
373,[포토]나나-조유리 '예쁜 애 옆에 예쁜 애',"그룹 우아 나나, 가수 <b>조유리</b>가 22일 온라인으로 진행된 플레이리스트 드라마 &apos;미미쿠스&apos; 제작발표회에... 그룹 우아 나나, 가수 <b>조유리</b>가 22일 온라인으로 진행된 플레이리스트 드라마 &apos;미미쿠스&apos; 제작발표회에 참석해... ",http://www.joynews24.com/view/1503343,http://www.joynews24.com/view/1503343,"Fri, 22 Jul 2022 13:32:00 +0900"
374,[TD포토] 미미쿠스의 선남선녀들,이날 제작발표회에 참석한 영재 나나 <b>조유리</b> 김윤우가 포즈를 취하고 있다. &apos;미미쿠스&apos; 는 ‘미믹(따라하다)’이 판치는 예술고등학교에서 &apos;진짜&apos; 가 되기 위한 예고생들의 치열한 생존기를 그린 막장 하이틴 드라마다.... ,http://www.tvdaily.co.kr/read.php3?aid=16584641581646947017,http://www.tvdaily.co.kr/read.php3?aid=16584641581646947017,"Fri, 22 Jul 2022 13:32:00 +0900"
