,title,description,originallink,link,pubDate
847,"[포토] <b>최예나</b>, 청량하고 상큼함 넘치는 무대",가수 <b>최예나</b>(YENA)가 신곡무대를 선보이고 있다. [사진 /오훈 기자]가수 <b>최예나</b>(YENA)가 신곡무대를 선보이고 있다. [사진 /오훈 기자]가수 <b>최예나</b>(YENA)가 신곡무대를 선보이고 있다. [사진 /오훈 기자] 가수 <b>최예나</b>(YENA)가... ,http://www.sisafocus.co.kr/news/articleView.html?idxno=281367,http://www.sisafocus.co.kr/news/articleView.html?idxno=281367,"Wed, 03 Aug 2022 17:34:00 +0900"
848,"[SE★포토] <b>최예나</b>, 락스타가 이렇게 귀여울 수 있는 건가요?",가수 <b>최예나</b>가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE&apos; 발매 기념 미디어 쇼케이스에서 수록곡 ‘WithOrWithOut’ 무대를 선보이고 있다.,https://www.sedaily.com/NewsView/269NL9SU8M,https://n.news.naver.com/mnews/article/011/0004083541?sid=106,"Wed, 03 Aug 2022 17:29:00 +0900"
849,"[포토] <b>최예나</b>, &apos;퇴장도 예나 스타일로~&apos;",가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE(스마트폰)&apos; 쇼케이스에 참석해 취재진에게 본인 스타일로 마지막 인사를 전하고 있다. 이번 앨범 &apos;SMARTPHONE&apos;은... ,https://isplus.com/2022/08/03/enter/entertainment/20220803172826047.html,https://n.news.naver.com/mnews/article/241/0003223640?sid=106,"Wed, 03 Aug 2022 17:28:00 +0900"
850,"[포토] <b>최예나</b>, &apos;다같이 즐겨요!&apos;",가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE(스마트폰)&apos; 쇼케이스에 참석해 세 번째 트랙 WithOrWithOut 무대를 선보이고 있다. 이번 앨범 &apos;SMARTPHONE&apos;은... ,https://isplus.com/2022/08/03/enter/entertainment/20220803172625253.html,https://n.news.naver.com/mnews/article/241/0003223639?sid=106,"Wed, 03 Aug 2022 17:26:00 +0900"
851,"[포토] <b>최예나</b>, 7개월 만에 컴백해요~",가수 <b>최예나</b>(YENA)가 인사말을 하고 있다. [사진 /오훈 기자]가수 <b>최예나</b>(YENA)가 인사말을 하고 있다. [사진 /오훈 기자] 가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24 라이브홀에서 열린 두 번째 미니앨범 &apos;스마트폰... ,http://www.sisafocus.co.kr/news/articleView.html?idxno=281364,http://www.sisafocus.co.kr/news/articleView.html?idxno=281364,"Wed, 03 Aug 2022 17:26:00 +0900"
852,"[포토] <b>최예나</b>, &apos;진지하게 열창&apos;",가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE(스마트폰)&apos; 쇼케이스에 참석해 세 번째 트랙 WithOrWithOut 무대를 선보이고 있다. 이번 앨범 &apos;SMARTPHONE&apos;은... ,https://isplus.com/2022/08/03/enter/entertainment/20220803172606681.html,https://n.news.naver.com/mnews/article/241/0003223638?sid=106,"Wed, 03 Aug 2022 17:26:00 +0900"
853,"[종합] <b>최예나</b> &quot;해피 바이러스, 나만의 색깔&quot;…&apos;스마트폰&apos;으로 &apos;썸머 아이돌 ...",가수 <b>최예나</b>가 한층 &apos;<b>최예나</b>스러운&apos; 색깔로 팬들을 찾았다. <b>최예나</b>는 3일 오후 4시 두 번째 미니앨범 &apos;스마트폰(SMARTPHONE)&apos; 발매 기념 쇼케이스를 진행했다. 앨범과 동명의 타이틀곡 &apos;스마트폰&apos;은 에너제틱한 드럼 비트와... ,https://tenasia.hankyung.com/music/article/2022080349354,https://n.news.naver.com/mnews/article/312/0000562010?sid=106,"Wed, 03 Aug 2022 17:25:00 +0900"
854,"[포토] <b>최예나</b>, &apos;무대 즐겨서 신나요&apos;",가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE(스마트폰)&apos; 쇼케이스에 참석해 세 번째 트랙 WithOrWithOut 무대를 선보이고 있다. 이번 앨범 &apos;SMARTPHONE&apos;은... ,https://isplus.com/2022/08/03/enter/entertainment/20220803172546760.html,https://n.news.naver.com/mnews/article/241/0003223637?sid=106,"Wed, 03 Aug 2022 17:25:00 +0900"
855,"[포토] <b>최예나</b>, &apos;그윽한 눈빛&apos;",가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE(스마트폰)&apos; 쇼케이스에 참석해 세 번째 트랙 WithOrWithOut 무대를 선보이고 있다. 이번 앨범 &apos;SMARTPHONE&apos;은... ,https://isplus.com/2022/08/03/enter/entertainment/20220803172436520.html,https://n.news.naver.com/mnews/article/241/0003223635?sid=106,"Wed, 03 Aug 2022 17:24:00 +0900"
856,&apos;거기 뉴규?&apos; <b>최예나</b>[포토],아이즈원 출신 가수 <b>최예나</b>(YENA)가 3일 광장동 예스24 라이브홀에서 열린 자신의 두 번째 미니앨범 ‘스마트폰(SMARTPHONE)’ 쇼케이스에서 타이틀곡 스마트폰을 선보이고 있다. 2022.8.3. 예스24라이브홀 |,http://www.sportsseoul.com/news/read/1148065?ref=naver,https://n.news.naver.com/mnews/article/468/0000870994?sid=106,"Wed, 03 Aug 2022 17:24:00 +0900"
857,"[포토] <b>최예나</b>, &apos;꾸러기 표정&apos;",가수 <b>최예나</b>(YENA)가 3일 오후 서울 광진구 예스24라이브홀에서 열린 두 번째 미니앨범 &apos;SMARTPHONE(스마트폰)&apos; 쇼케이스에 참석해 세 번째 트랙 WithOrWithOut 무대를 선보이고 있다. 이번 앨범 &apos;SMARTPHONE&apos;은... ,https://isplus.com/2022/08/03/enter/entertainment/20220803172456870.html,https://n.news.naver.com/mnews/article/241/0003223636?sid=106,"Wed, 03 Aug 2022 17:24:00 +0900"
858,&apos;무대꽉채우는 안무&apos; <b>최예나</b>[포토],아이즈원 출신 가수 <b>최예나</b>(YENA)가 3일 광장동 예스24 라이브홀에서 열린 자신의 두 번째 미니앨범 ‘스마트폰(SMARTPHONE)’ 쇼케이스에서 타이틀곡 스마트폰을 선보이고 있다. 2022.8.3. 예스24라이브홀 |,http://www.sportsseoul.com/news/read/1148063?ref=naver,https://n.news.naver.com/mnews/article/468/0000870993?sid=106,"Wed, 03 Aug 2022 17:23:00 +0900"
859,&apos;첫 오프라인 쇼케이스&apos; <b>최예나</b>[포토],아이즈원 출신 가수 <b>최예나</b>(YENA)가 3일 광장동 예스24 라이브홀에서 열린 자신의 두 번째 미니앨범 ‘스마트폰(SMARTPHONE)’ 쇼케이스에서 타이틀곡 스마트폰을 선보이고 있다. 2022.8.3. 예스24라이브홀 |,http://www.sportsseoul.com/news/read/1148062?ref=naver,https://n.news.naver.com/mnews/article/468/0000870992?sid=106,"Wed, 03 Aug 2022 17:22:00 +0900"
860,&apos;앙증맞은 윙크 발사^^&apos; <b>최예나</b>[포토],아이즈원 출신 가수 <b>최예나</b>(YENA)가 3일 광장동 예스24 라이브홀에서 열린 자신의 두 번째 미니앨범 ‘스마트폰(SMARTPHONE)’ 쇼케이스에서 타이틀곡 스마트폰을 선보이고 있다. 2022.8.3. 예스24라이브홀 |,http://www.sportsseoul.com/news/read/1148061?ref=naver,https://n.news.naver.com/mnews/article/468/0000870991?sid=106,"Wed, 03 Aug 2022 17:21:00 +0900"
861,"<b>최예나</b>, &apos;겜순이 그녀의 새로운 유쾌히어로 유니버스&apos; [종합]",&apos;스마일리&apos;때만큼 즐기면서 활동하겠다&quot; 유쾌큐트 히어로 <b>최예나</b>가 자신만의 유니버스를 새롭게 열며 7개월만에 돌아왔다. 3일 서울 광진구 예스24 라이브홀에서는 <b>최예나</b> 미니2집 &apos;SMARTPHONE&apos;(스마트폰) 발매기념... ,http://www.etnews.com/20220803000231,https://n.news.naver.com/mnews/article/030/0003034749?sid=106,"Wed, 03 Aug 2022 17:20:00 +0900"
862,&apos;스마트폰 터치^&apos; <b>최예나</b>[포토],아이즈원 출신 가수 <b>최예나</b>(YENA)가 3일 광장동 예스24 라이브홀에서 열린 자신의 두 번째 미니앨범 ‘스마트폰(SMARTPHONE)’ 쇼케이스에서 타이틀곡 스마트폰을 선보이고 있다. 2022.8.3. 예스24라이브홀 |,http://www.sportsseoul.com/news/read/1148057?ref=naver,https://n.news.naver.com/mnews/article/468/0000870988?sid=106,"Wed, 03 Aug 2022 17:19:00 +0900"
863,타이틀곡 선보이는 <b>최예나</b>[포토],아이즈원 출신 가수 <b>최예나</b>(YENA)가 3일 광장동 예스24 라이브홀에서 열린 자신의 두 번째 미니앨범 ‘스마트폰(SMARTPHONE)’ 쇼케이스에서 타이틀곡 스마트폰을 선보이고 있다. 2022.8.3. 예스24라이브홀 |,http://www.sportsseoul.com/news/read/1148058?ref=naver,https://n.news.naver.com/mnews/article/468/0000870989?sid=106,"Wed, 03 Aug 2022 17:19:00 +0900"
